Year-month,Canon dslr,Nikon dslr,Sony dslr
2006-01-01,0.3,1.3,0.4
2006-02-01,1.584,0.792,0.424
2006-03-01,0.728,1.972,0.5
2006-04-01,2.044,0.492,1.464
2006-05-01,1.492,0.412,0.896
2006-06-01,0.664,0.908,3.228
2006-07-01,0.924,1.124,1.152
2006-08-01,2.336,0.188,1.076
2006-09-01,2.384,0.848,0.768
2006-10-01,1.388,0.82,1.392
2006-11-01,1.984,1.224,1.592
2006-12-01,1.2,0.528,2.672
2007-01-01,2.028,1.208,0.764
2007-02-01,1.412,1.288,0.9
2007-03-01,2.54,3.792,1.668
2007-04-01,1.956,1.216,1.228
2007-05-01,1.44,1.024,2.736
2007-06-01,2.084,0.664,2.052
2007-07-01,2.492,2.876,1.432
2007-08-01,3.568,1.34,3.092
2007-09-01,2.196,1.82,0.784
2007-10-01,3.552,1.988,1.66
2007-11-01,2.752,2.16,2.288
2007-12-01,2.976,2.544,1.68
2008-01-01,2.712,1.724,2.364
2008-02-01,2.996,3.116,1.888
2008-03-01,3.76,1.588,1.852
2008-04-01,2.444,2.752,1.604
2008-05-01,4.176,1.024,2.8
2008-06-01,2.732,1.148,3.72
2008-07-01,2.66,1.736,2.404
2008-08-01,3.268,1.68,2.252
2008-09-01,3.82,1.808,2.772
2008-10-01,2.492,2.776,2.732
2008-11-01,2.916,1.784,2.9
2008-12-01,3.976,3.092,2.532
2009-01-01,4.084,1.94,1.976
2009-02-01,3.056,2.712,2.632
2009-03-01,2.548,1.82,2.432
2009-04-01,5.9,2.476,4.024
2009-05-01,4.888,2.024,2.688
2009-06-01,3.384,3.812,1.604
2009-07-01,3.388,3.144,2.668
2009-08-01,2.772,2.56,2.668
2009-09-01,3.696,4.2,2.904
2009-10-01,3.792,3.62,4.188
2009-11-01,4.252,2.876,3.272
2009-12-01,5.628,2.812,2.76
2010-01-01,4.712,3.568,2.52
2010-02-01,5.612,3.724,2.264
2010-03-01,5.616,3.672,2.712
2010-04-01,4.424,2.896,2.28
2010-05-01,4.452,3.408,1.74
2010-06-01,4.92,3.632,2.648
2010-07-01,3.88,3.128,2.192
2010-08-01,4.672,4.448,3.68
2010-09-01,5.384,3.724,3.292
2010-10-01,5.38,3.156,2.664
2010-11-01,6.764,3.34,2.296
2010-12-01,5.152,3.056,3.392
2011-01-01,6.3,4.048,3.652
2011-02-01,5.56,4.032,3.208
2011-03-01,6.808,3.496,2.496
2011-04-01,6.908,5.172,2.32
2011-05-01,5.428,4.82,2.152
2011-06-01,7.896,5.264,2.44
2011-07-01,6.752,5.14,1.708
2011-08-01,7.264,5.376,2.16
2011-09-01,7.488,4.076,2.836
2011-10-01,9.144,5.44,2.216
2011-11-01,9.612,5.312,2.676
2011-12-01,6.284,4.72,2.596
2012-01-01,9.068,4.52,2.412
2012-02-01,8.212,4.492,2.096
2012-03-01,7.476,4.528,2.396
2012-04-01,9.676,5.58,2.344
2012-05-01,9.052,4.764,2.584
2012-06-01,8.904,6.776,1.92
2012-07-01,7.504,5.704,2.392
2012-08-01,8.748,6.192,1.86
2012-09-01,8.388,5.628,2.384
2012-10-01,8.352,4.532,1.516
2012-11-01,8.34,5.88,1.78
2012-12-01,7.572,5.008,1.82
2013-01-01,8.476,5.036,1.288
2013-02-01,8.788,5.584,1.628
2013-03-01,10.6,5.884,2.316
2013-04-01,8.296,5.272,1.632
2013-05-01,8.324,5.612,1.664
2013-06-01,9.264,5.324,1.812
2013-07-01,9.636,5.908,1.656
2013-08-01,9.712,5.32,2.168
2013-09-01,10.996,6.096,2.508
2013-10-01,9.62,6.232,2.548
2013-11-01,9.564,6.44,1.996
2013-12-01,9.26,6.332,2.408
2014-01-01,9.684,6.304,2.012
2014-02-01,9.488,7.24,2.072
2014-03-01,9.612,6.572,1.816
2014-04-01,8.48,5.756,1.764
2014-05-01,9.58,5.976,2.044
2014-06-01,9.52,6.212,1.868
2014-07-01,10.888,7.204,2.308
2014-08-01,8.832,6.82,1.948
2014-09-01,8.472,5.096,1.232
2014-10-01,10.224,6.524,2.052
2014-11-01,9.496,6.396,2.108
2014-12-01,8.388,6.132,1.88
2015-01-01,9.316,7.484,2.0
2015-02-01,9.996,6.288,2.116
2015-03-01,10.768,7.192,2.04
2015-04-01,8.32,6.052,1.628
2015-05-01,8.324,6.732,1.344
2015-06-01,8.864,7.14,1.196
2015-07-01,9.916,5.52,1.764
2015-08-01,8.604,6.128,2.068
2015-09-01,9.692,6.628,2.48
2015-10-01,8.312,4.74,1.348
2015-11-01,7.22,4.944,1.436
2015-12-01,7.688,5.612,1.5
2016-01-01,7.448,5.944,1.808
2016-02-01,8.576,5.64,1.384
2016-03-01,9.052,5.516,2.232
2016-04-01,6.232,5.24,1.728
2016-05-01,8.504,4.792,1.504
2016-06-01,9.604,5.992,1.604
2016-07-01,7.624,5.424,1.352
2016-08-01,7.716,5.152,1.532
2016-09-01,9.904,6.164,1.532
2016-10-01,9.292,7.164,1.544
2016-11-01,8.028,5.768,1.404
2016-12-01,9.46,4.3,1.44
2017-01-01,8.66,5.64,1.7
2017-02-01,9.636,6.3,1.264
2017-03-01,9.684,5.716,1.8
2017-04-01,6.856,6.028,1.516
2017-05-01,8.052,6.168,1.38
2017-06-01,8.384,4.572,1.844
2017-07-01,9.472,5.62,1.708
2017-08-01,9.484,6.14,1.976
2017-09-01,10.196,6.316,1.888
2017-10-01,10.192,5.996,2.212
2017-11-01,10.552,5.544,1.904
2017-12-01,9.02,6.076,2.504
2018-01-01,9.676,7.064,2.06
2018-02-01,10.64,6.908,2.052
2018-03-01,10.36,6.48,1.96
2018-04-01,10.128,6.384,1.888
2018-05-01,11.024,6.664,1.912
2018-06-01,10.484,5.8,2.116
2018-07-01,10.924,6.312,1.964
2018-08-01,10.728,7.024,1.848
2018-09-01,10.124,5.176,2.3
2018-10-01,11.364,6.072,2.164
2018-11-01,9.476,6.06,1.664
2018-12-01,10.748,5.708,1.944
2019-01-01,11.536,6.344,2.12
2019-02-01,10.684,6.228,2.288
2019-03-01,11.932,6.136,1.932
2019-04-01,8.796,5.308,1.896
2019-05-01,9.252,5.684,1.864
2019-06-01,11.216,4.588,0.996
2019-07-01,9.924,5.196,1.28
2019-08-01,8.892,6.104,1.804
2019-09-01,8.56,5.08,1.56
2019-10-01,11.384,5.208,1.408
2019-11-01,8.672,5.416,1.112
2019-12-01,6.948,4.668,1.584
2020-01-01,8.688,4.976,1.936
2020-02-01,9.044,4.664,1.892
2020-03-01,8.768,4.696,1.336
