country_code,intnt_pop
ABW,10284958.65
AFG,501827211.0
AGO,441783622.38071233
ALB,205940632.56022802
AND,7051244.36611218
ARB,26516798287.957123
ARE,948167930.693107
ARG,3305714882.317029
ARM,191112395.6880701
ASM,0.0
ATG,7317736.0
AUS,2162127953.364309
AUT,773361149.7436969
AZE,793195995.171502
BDI,29734870.64157123
BEL,1013616045.6096958
BEN,229700960.0
BFA,316024560.0
BGD,2420340585.0
BGR,455096022.0316456
BHR,154816796.28928262
BHS,32779400.0
BIH,233074350.34337214
BLR,750428201.2947284
BLZ,18035988.5478318
BMU,6293024.010000001
BOL,502786860.5746667
BRA,14753822183.987345
BRB,23435991.278487988
BRN,40694205.77927768
BTN,36291191.50137672
BWA,105943922.0
CAF,20248599.47248427
CAN,3372256615.0
CEB,7790226863.884001
CHE,763518533.870231
CHL,1541924675.109879
CHN,75625239000.0
CIV,1173834736.8020213
CMR,585091640.2998769
COD,724658950.8896353
COG,45363739.95
COL,3183790282.927482
COM,7056567.65627499
CPV,31082888.83430045
CRI,370392596.62755346
CSS,435476694.364922
CUB,647956494.6599561
CUW,10886729.156750001
CYM,5202438.1466255
CYP,100413904.5156478
CZE,857709411.402137
DEU,7439892005.813853
DJI,53394016.95801
DMA,4986508.777083751
DNK,563832045.9293892
DOM,795170074.3500469
DZA,2070817467.5850463
EAP,106515509476.39813
EAR,123561768084.64066
EAS,128222726535.23074
ECA,30544573324.39107
ECS,73276762542.26959
ECU,978459457.2201138
EGY,4618462047.813233
EMU,28634073147.813416
ERI,4206790.38432456
ESP,4029520691.769066
EST,118127909.06076129
ETH,2033548459.0655606
EUU,37552300928.42303
FCS,16562518045.04356
FIN,490274796.629
FJI,44144441.125993825
FRA,5495015299.585046
FRO,4732432.26271318
FSM,3976648.5152768
GAB,131395050.0
GBR,6306870101.848765
GEO,233721357.97300532
GHA,1160917212.0
GIB,3184478.69273444
GIN,223457724.0
GMB,45229139.441552885
GNB,7366988.678175968
GNQ,34347477.707641035
GRC,782901886.0805893
GRD,6583781.19281344
GRL,3892754.9212244996
GTM,1121107455.0
GUM,13345230.01495008
GUY,29076976.16275716
HIC,102895622639.56653
HKG,674370602.60383
HND,303924447.4
HPC,15099750521.682528
HRV,307792609.79083955
HTI,361209869.92536485
HUN,743669781.195401
IBD,239402537019.65292
IBT,277811542868.8442
IDA,37719621641.38185
IDB,15763391786.640799
IDN,10681012653.492764
IDX,21955839069.71969
IND,46597666949.600006
IRL,411396161.5173566
IRN,5726391202.820547
IRQ,2882520050.3480163
ISL,34923242.70230679
ISR,743784727.642168
ITA,4494604513.468339
JAM,161628531.34202775
JOR,664965105.1585387
JPN,11549779768.792059
KAZ,1441766337.749516
KEN,916188339.3635322
KGZ,240266400.0
KHM,649991920.0
KIR,1689259.8906984602
KNA,4232523.11626721
KOR,4955416473.955594
KWT,412071216.7983533
LAC,40036243042.79158
LAO,180142115.89046556
LBN,535454263.6634932
LBR,38477024.1372844
LBY,145318409.20835155
LCA,9242734.05778942
LCN,42205355701.17908
LDC,18426037958.324757
LIC,11596119786.967173
LIE,3718971.0
LKA,739236248.993
LMC,104943398967.63452
LMY,274554555983.53412
LSO,61135828.0
LTE,135587036351.31905
LTU,223346243.7012141
LUX,59008416.550744504
LVA,161067758.38364565
MAC,52927363.58490196
MAR,2334827401.863906
MCO,3754203.25012488
MDA,205996680.92381462
MDG,257371206.4
MDV,32584595.15165248
MEA,29244415652.440594
MEX,8299900573.867169
MHL,2260651.0121220597
MIC,261883098983.7613
MKD,164903109.01505202
MLI,248009970.0
MLT,39573938.5858187
MMR,1647675976.3542085
MNA,22836917642.191776
MNE,44499888.49561533
MNG,149509989.9095616
MNP,0.0
MOZ,294959620.0
MRT,91593278.50238754
MUS,74141909.3099191
MWI,250054149.90955284
MYS,2560154163.5048027
NAC,31928966537.582756
NAM,124861005.0
NCL,23294579.137647998
NER,117836422.13398127
NGA,8226739080.0
NIC,180148847.40417513
NLD,1632042842.6033213
NOR,512555581.9436088
NPL,954987614.0
NRU,724128.0
NZL,439616501.55187
OED,107573577532.72293
OMN,387255164.60222757
OSS,1625614117.6726859
PAK,3291455115.3
PAN,241695132.3559511
PER,1680725432.3475335
PHL,6404955614.443854
PLW,482957.74640541
PNG,96469887.95966244
POL,2944627983.7228646
PRE,22123788686.228447
PRI,225571007.59470928
PRK,0.0
PRT,767800106.3909165
PRY,452099699.7886745
PSE,294249174.0604428
PSS,80365640.45294148
PST,93040813522.29117
PYF,20188344.94578549
QAT,277202038.40939105
ROU,1375892004.9706798
RUS,11683177264.55483
RWA,267784088.6656502
SAS,54611620743.904335
SAU,3144542116.914902
SDN,1290425685.677354
SEN,729300560.0
SGP,497137455.90709627
SLB,7784828.33565348
SLE,68851386.0
SLV,217154242.1603016
SMR,2033259.0480691001
SOM,30077071.483083494
SRB,512248781.1536266
SSA,27399756257.771538
SSD,87559621.48891944
SSF,27405517664.41138
SST,2142236716.433092
STP,6316327.435617601
SUR,28191979.70015427
SVK,439338376.5784767
SVN,165392997.9708804
SWE,937561282.3026386
SWZ,53400977.0
SYC,5686684.47520488
SYR,579097706.7413262
TCA,0.0
TCD,100605352.40182813
TEA,105206235516.16599
TEC,33809713651.18236
TGO,97510976.64947718
THA,3944753838.368047
TJK,199854380.52
TKM,124337630.75414827
TLA,41166419096.296875
TLS,34860014.03715156
TMN,22536031809.427505
TON,4256744.94626508
TSA,54611620743.904335
TSS,27405517664.41138
TTO,107472233.27318394
TUN,742379815.2352369
TUR,5848220483.480345
TUV,567555.44083896
TZA,1407958700.0
UGA,1012817415.2757266
UKR,2791279177.2407613
UMC,156188812923.25894
URY,257894203.05705425
USA,28508748319.149864
UZB,1819138080.0
VCT,2468071.5257499004
VEN,2078654040.0
VGB,2315742.60357858
VIR,6886911.2077311
VNM,6721231971.419254
VUT,7527667.5050112
WLD,377610505466.2877
WSM,6592113.5288316
XKX,165049226.894241
YEM,761438029.745187
ZAF,3245330821.2014904
ZMB,248131004.2797162
ZWE,390654673.75468844
